SourceIP,DestinationIP,SourcePort,DestinationPort,Flow'sProtocol,Number of Bytes Sent per Flow,Number of Bytes received per Flow
192.168.43.254,65.55.44.109,13107,443,TCP,32,32
65.55.44.109,192.168.43.254,443,13107,TCP,20,20
192.168.43.254,65.55.44.109,13107,443,TCP,1420,537
192.168.43.254,65.55.44.109,13107,443,TCP,1420,20
65.55.44.109,192.168.43.254,443,13107,TCP,1115,113
65.55.44.109,192.168.43.254,443,13107,TCP,20,1420
65.55.44.109,192.168.43.254,443,13107,TCP,71,425
192.168.43.254,65.55.44.109,13107,443,TCP,20,299
65.55.44.109,192.168.43.254,443,13107,TCP,20,20
192.168.43.254,65.55.44.109,13107,443,TCP,334,51
65.55.44.109,192.168.43.254,443,13107,TCP,20,20
65.55.44.109,192.168.43.254,443,13107,TCP,32,33
192.168.43.254,65.55.44.109,13107,443,TCP,32,20
192.168.43.254,65.55.44.109,13107,443,TCP,41,245
65.55.44.109,192.168.43.254,443,13107,TCP,20,81
65.55.44.109,192.168.43.254,443,13107,TCP,20,20
192.168.43.254,3.14.252.40,13096,443,TCP,20,32
65.55.44.109,192.168.43.254,443,13107,TCP,20,20
65.55.44.109,192.168.43.254,443,13107,TCP,67,268
192.168.43.254,65.55.44.109,13107,443,TCP,32,20
192.168.43.254,65.55.44.109,13107,443,TCP,20,20
192.168.43.254,65.55.44.109,13107,443,TCP,1420,20
65.55.44.109,192.168.43.254,443,13107,TCP,1420,20
65.55.44.109,192.168.43.254,443,13107,TCP,1420,20
192.168.43.254,108.177.119.189,59346,443,UDP,1420,178
108.177.119.189,192.168.43.254,443,59346,UDP,629,20
3.14.252.40,192.168.43.254,443,13096,TCP,20,701
138.199.14.82,192.168.43.254,80,12858,TCP,71,1420
192.168.43.254,138.199.14.82,12858,80,TCP,20,1420
192.168.43.254,3.14.252.40,13104,443,TCP,20,993
3.14.252.40,192.168.43.254,443,13104,TCP,20,20
192.168.43.254,104.27.195.88,12861,443,TCP,20,20
104.27.195.88,192.168.43.254,443,12861,TCP,447,20
104.27.195.88,192.168.43.254,443,12861,TCP,20,51
192.168.43.254,104.27.195.88,12861,443,TCP,20,20
192.168.43.254,20.189.173.7,13108,443,TCP,446,20
20.189.173.7,192.168.43.254,443,13108,TCP,1420,20
192.168.43.254,20.189.173.7,13108,443,TCP,133,20
192.168.43.254,20.189.173.7,13108,443,TCP,1284,20
20.189.173.7,192.168.43.254,443,13108,TCP,58,20
20.189.173.7,192.168.43.254,443,13108,TCP,79,106
192.168.43.254,20.189.173.7,13108,443,TCP,120,20
20.189.173.7,192.168.43.254,443,13108,TCP,388,20
192.168.43.254,20.189.173.7,13108,443,TCP,174,95
20.189.173.7,192.168.43.254,443,13108,TCP,20,32
192.168.43.254,20.189.173.7,13108,443,TCP,155,20
20.189.173.7,192.168.43.254,443,13108,TCP,54,537
192.168.43.254,20.189.173.7,13108,443,TCP,234,20
20.189.173.7,192.168.43.254,443,13108,TCP,42,20
192.168.43.254,20.189.173.7,13108,443,TCP,32,20
192.168.43.254,20.189.173.7,13108,443,TCP,155,20
20.189.173.7,192.168.43.254,443,13108,TCP,20,20
20.189.173.7,192.168.43.254,443,13108,TCP,1420,20
192.168.43.254,20.189.173.7,13108,443,TCP,1259,20
192.168.43.254,20.189.173.7,13108,443,TCP,1420,20
192.168.43.254,20.189.173.7,13108,443,TCP,1099,20
192.168.43.254,20.189.173.7,13108,443,TCP,1420,20
192.168.43.254,20.189.173.7,13108,443,TCP,1067,20
20.189.173.7,192.168.43.254,443,13108,TCP,1420,52
20.189.173.7,192.168.43.254,443,13108,TCP,923,20
20.189.173.7,192.168.43.254,443,13108,TCP,20,33
20.189.173.7,192.168.43.254,443,13108,TCP,1420,20
192.168.43.254,3.14.252.40,13104,443,TCP,1403,33
20.189.173.7,192.168.43.254,443,13108,TCP,1420,20
192.168.43.254,20.189.173.7,13108,443,TCP,1211,33
3.14.252.40,192.168.43.254,443,13104,TCP,1412,611
192.168.43.254,3.14.252.40,13104,443,TCP,1299,1420
192.168.43.254,185.60.216.53,12875,443,TCP,1420,593
185.60.216.53,192.168.43.254,443,12875,TCP,1339,33
185.60.216.53,192.168.43.254,443,12875,TCP,1420,20
185.60.216.53,192.168.43.254,443,12875,TCP,1291,33
185.60.216.53,192.168.43.254,443,12875,TCP,41,33
192.168.43.254,185.60.216.53,12875,443,TCP,1420,33
185.60.216.53,192.168.43.254,443,12875,TCP,1339,20
192.168.43.254,185.60.216.53,12875,443,TCP,41,33
185.60.216.53,192.168.43.254,443,12875,TCP,1420,20
192.168.43.254,185.60.216.53,12875,443,TCP,1099,33
185.60.216.53,192.168.43.254,443,12875,TCP,41,20
192.168.43.254,185.60.216.53,12875,443,TCP,1420,20
185.60.216.53,192.168.43.254,443,12875,TCP,1259,33
192.168.43.254,185.60.216.53,12875,443,TCP,41,20
185.60.216.53,192.168.43.254,443,12875,TCP,41,118
185.60.216.53,192.168.43.254,443,12875,TCP,20,32
192.168.43.254,185.60.216.53,12875,443,TCP,20,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,537
185.60.216.53,192.168.43.254,443,12875,TCP,446,33
185.60.216.53,192.168.43.254,443,12875,TCP,41,20
185.60.216.53,192.168.43.254,443,12875,TCP,41,113
192.168.43.254,185.60.216.53,12875,443,TCP,41,1420
